date,Open,High,Low,Close,Volume,MarketCap
2016-11-12,716.75,717.15,704.03,705.05,64622500,11262273136
2016-11-13,705.2,705.26,687.32,702.03,80318096,11215181107
2016-11-14,702,706.28,699.81,705.02,62993000,11271073434
2016-11-15,705.79,715.72,705.26,711.62,72038496,11377924616
2016-11-16,711.17,747.61,709.04,744.2,141294000,11900441939
2016-11-17,744.88,755.65,739.51,740.98,108579000,11850398479
2016-11-18,740.71,752.88,736.89,751.59,87363104,12021432968
2016-11-19,751.83,756.24,744.47,751.62,110608000,12023262925
2016-11-20,751.88,755.48,717.94,731.03,154116000,11695081878
2016-11-21,731.27,741.72,730.51,739.25,60802400,11827902946
2016-11-22,739.64,753.87,736.53,751.35,129906000,12022735372
2016-11-23,751.74,752.25,738.92,744.59,76543800,11916054235
2016-11-24,744.62,746.83,733.49,740.29,85919296,11848658575
2016-11-25,740.44,741.65,734.59,741.65,67807600,11871816579
2016-11-26,741.51,742.21,729.63,735.38,54962700,11772895899
2016-11-27,735.44,739.02,731.09,732.03,52601800,11720648987
2016-11-28,732.48,738.01,732.48,735.81,61888600,11782628755
2016-11-29,736.33,737.47,734.56,735.6,68511104,11780661280
2016-11-30,736.28,747.93,736.27,745.69,84070800,11943536630
2016-12-01,746.05,758.28,746.05,756.77,80461904,12122431239
2016-12-02,757.54,781.3,757.54,777.94,127605000,12462935160
2016-12-03,778.25,778.25,764.86,771.16,69547296,12355811709
2016-12-04,771.64,773.87,768.16,773.87,60557900,12400766376
2016-12-05,773.39,773.47,751.71,758.7,106363000,12159115875
2016-12-06,758.72,765.62,758.72,764.22,116218000,12249086971
2016-12-07,764.21,771.54,759.75,768.13,96426096,12313376414
2016-12-08,768.08,774.7,765.95,770.81,80111904,12357837893
2016-12-09,769.94,774.53,769.65,772.79,68705296,12390863077
2016-12-10,773.02,777.09,772.91,774.65,53843100,12421967470
2016-12-11,774.75,774.8,765.41,769.73,57313400,12344888048
2016-12-12,770.04,781.92,770.04,780.09,76571000,12512497969
2016-12-13,780.65,788.46,777.96,780.56,81645600,12521776922
2016-12-14,780.01,782.03,776.84,781.48,75979000,12534369129
2016-12-15,780.07,781.43,777.8,778.09,81580096,12484761985
2016-12-16,778.96,785.03,778.96,784.91,83608200,12595490539
2016-12-17,785.17,792.51,784.86,790.83,78989800,12691945028
2016-12-18,791.01,794.74,788.03,790.53,60524400,12688510068
2016-12-19,790.69,793.61,790.32,792.71,74886400,12725090633
2016-12-20,792.25,801.34,791.5,800.88,99629296,12857473134
2016-12-21,800.64,834.28,799.41,834.28,155576000,13395445163
2016-12-22,834.18,875.78,834.15,864.54,200027008,13882988216
