DATETIME,blob_sent,Open,High,Low,Close,Volume,,,,
2019-06-05 16:44,0.5,7704.34,7901.85,7668.67,7824.23,21760923463,,,,
2019-06-05 17:30,0.0625,7704.34,7901.85,7668.67,7824.23,21760923463,,,,
2019-06-05 17:36,-0.175,7704.34,7901.85,7668.67,7824.23,21760923463,,,,
2019-06-05 19:37,0,7704.34,7901.85,7668.67,7824.23,21760923463,,,,
2019-06-05 20:11,0.38,7704.34,7901.85,7668.67,7824.23,21760923463,,,,
2019-06-05 20:11,0.38,7704.34,7901.85,7668.67,7824.23,21760923463,,,,
2019-06-05 20:37,0,7704.34,7901.85,7668.67,7824.23,21760923463,,,,
2019-06-06 0:47,0,7819.63,7937.34,7571.47,7822.02,19474611077,,,,
2019-06-06 2:00,0,7819.63,7937.34,7571.47,7822.02,19474611077,,,,
2019-06-06 2:00,0,7819.63,7937.34,7571.47,7822.02,19474611077,,,,
2019-06-06 5:14,0.008333333,7819.63,7937.34,7571.47,7822.02,19474611077,,,,
2019-06-06 5:20,0.135416667,7819.63,7937.34,7571.47,7822.02,19474611077,,,,
2019-06-06 5:20,0.135416667,7819.63,7937.34,7571.47,7822.02,19474611077,,,,
2019-06-06 8:18,0.8,7819.63,7937.34,7571.47,7822.02,19474611077,,,,
2019-06-06 10:22,0.116666667,7819.63,7937.34,7571.47,7822.02,19474611077,,,,
2019-06-06 10:22,0.116666667,7819.63,7937.34,7571.47,7822.02,19474611077,,,,
2019-06-06 10:22,0.116666667,7819.63,7937.34,7571.47,7822.02,19474611077,,,,
2019-06-06 11:42,0,7819.63,7937.34,7571.47,7822.02,19474611077,,,,
2019-06-06 12:45,0.11,7819.63,7937.34,7571.47,7822.02,19474611077,,,,
2019-06-06 15:47,0,7819.63,7937.34,7571.47,7822.02,19474611077,,,,
2019-06-06 18:29,0.2,7819.63,7937.34,7571.47,7822.02,19474611077,,,,
2019-06-06 23:19,0.148181818,7819.63,7937.34,7571.47,7822.02,19474611077,,,,
2019-06-07 12:42,0.16,7826.9,8126.15,7788.37,8043.95,19141423231,,,,
2019-06-07 12:58,-0.8,7826.9,8126.15,7788.37,8043.95,19141423231,,,,
